M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.656,1.352,2.529,5.76,4,1,1,4,4,1,1780.93
5.547,1.434,2.797,6.93,5,1,1,5,5,1,1804.31
5.547,1.434,2.797,6.93,5,1,1,5,5,1,1807.1
5.593,1.542,3.292,3.75,5,1,4,5,20,4,1816.74
5.576,1.446,3.233,8.19,2,1,4,2,8,4,1817.41
5.593,1.542,3.292,3.75,5,1,4,5,20,4,1818.55
5.576,1.446,3.233,8.19,2,1,4,2,8,4,1823.63
5.606,1.352,2.534,4.47,4,1,4,4,16,4,1827.16
5.577,1.633,2.09,3.55,2,1,1,2,2,1,1828.35
5.577,1.633,2.09,3.55,2,1,1,2,2,1,1828.37
5.586,1.445,3.237,6.7,2,1,3,2,6,3,1830.52
5.498,1.865,2.338,4.33,4,5,1,20,4,5,1833.93
5.51,2.015,3.564,5.46,4,3,4,12,16,12,1835.39
5.535,1.867,2.333,4.06,4,5,2,20,8,10,1836.35
5.562,1.547,3.285,3.36,5,1,1,5,5,1,1837.79
5.56,1.431,2.8,7.58,5,1,1,5,5,1,1838.06
5.67,1.375,2.293,6.59,1,4,2,4,2,8,1838.32
5.491,1.351,1.86,3.99,1,6,1,6,1,6,1838.33
5.46,1.463,2.362,6.9,5,4,3,20,15,12,1839.27
5.658,1.739,3.608,3.63,4,6,3,24,12,18,1839.83
5.658,1.739,3.608,3.63,4,6,3,24,12,18,1839.94
5.562,1.547,3.285,3.36,5,1,1,5,5,1,1840.53
5.535,1.867,2.333,4.06,4,5,2,20,8,10,1840.78
5.555,1.879,2.79,7.27,5,6,3,30,15,18,1841.21
5.46,1.463,2.362,6.9,5,4,3,20,15,12,1843.99
5.624,2.085,2.127,5.32,4,6,4,24,16,24,1845.01
5.53,1.546,3.291,8.27,5,1,3,5,15,3,1846.44
5.494,1.636,2.088,3.35,2,1,3,2,6,3,1848.78
5.439,1.331,2.359,3.27,1,4,2,4,2,8,1849.28
5.536,2.015,3.565,7.78,4,3,1,12,4,3,1850.28
5.494,1.636,2.088,3.35,2,1,3,2,6,3,1851.71
5.499,1.558,2.317,7.34,1,1,1,1,1,1,1851.74
5.496,1.607,2.325,6.1,1,5,1,5,1,5,1852.16
5.315,2.18,2.14,3.77,4,1,2,4,8,2,1852.54
5.466,1.484,2.787,4.04,4,3,1,12,4,3,1852.62
5.499,1.558,2.317,7.34,1,1,1,1,1,1,1853.49
5.536,2.015,3.565,7.78,4,3,1,12,4,3,1854.04
5.593,1.352,1.852,3.27,1,6,3,6,3,18,1855.25
5.655,2.083,2.135,5.33,4,6,1,24,4,6,1856.04
5.496,1.607,2.325,6.1,1,5,1,5,1,5,1856.4
5.477,1.585,1.932,9.23,4,7,3,28,12,21,1857.52
5.466,1.484,2.787,4.04,4,3,1,12,4,3,1857.65
5.439,1.468,2.358,5.21,5,4,4,20,20,16,1858.36
5.684,1.903,3.34,3.45,4,1,2,4,8,2,1858.38
5.659,2.251,3.137,4.19,4,1,2,4,8,2,1859.12
5.626,1.377,2.294,8.51,1,4,3,4,3,12,1859.33
5.606,1.546,3.288,4.99,5,1,4,5,20,4,1859.5
5.593,1.352,1.852,3.27,1,6,3,6,3,18,1860.23
5.477,1.585,1.932,9.23,4,7,3,28,12,21,1861.21
5.496,2.095,3.049,9.03,4,4,3,16,12,12,1861.46
5.492,1.672,2.619,7.28,2,3,2,6,4,6,1861.64
5.63,1.876,2.781,3.84,5,6,1,30,5,6,1861.8
5.626,1.377,2.294,8.51,1,4,3,4,3,12,1862.97
5.446,1.611,2.319,3.43,1,5,3,5,3,15,1864.11
5.415,1.891,2.407,9.4,4,4,2,16,8,8,1864.15
5.462,2.021,2.603,3.87,4,5,2,20,8,10,1864.33
5.439,1.468,2.358,5.21,5,4,4,20,20,16,1864.48
5.597,1.436,2.799,3.84,5,1,1,5,5,1,1865.71
5.43,1.762,2.843,3.7,2,6,4,12,8,24,1865.71
5.469,1.484,2.777,5.51,4,3,1,12,4,3,1865.91
5.415,1.891,2.407,9.4,4,4,2,16,8,8,1866
5.496,2.095,3.049,9.03,4,4,3,16,12,12,1866.05
5.43,1.762,2.843,3.7,2,6,4,12,8,24,1866.93
5.446,1.611,2.319,3.43,1,5,3,5,3,15,1868.73
5.7,2.13,1.718,7.16,1,1,1,1,1,1,1869.86
5.676,1.375,2.293,7.85,1,4,4,4,4,16,1870.62
5.676,1.375,2.293,7.85,1,4,4,4,4,16,1872.74
5.568,1.688,3.583,5.91,2,4,4,8,8,16,1872.83
5.519,1.544,3.283,6.79,5,1,3,5,15,3,1873.92
5.609,2.083,2.135,4.35,4,6,3,24,12,18,1874.68
5.254,1.799,2.495,6.6,5,6,2,30,10,12,1874.69
5.7,2.13,1.718,7.16,1,1,1,1,1,1,1874.81
5.532,1.867,2.339,3.72,4,5,3,20,12,15,1875.22
5.426,1.826,2.797,3.24,4,3,3,12,12,9,1876.11
5.543,1.355,1.854,4.32,1,6,4,6,4,24,1876.69
5.532,1.867,2.339,3.72,4,5,3,20,12,15,1877.85
5.543,1.355,1.854,4.32,1,6,4,6,4,24,1879.14
5.511,1.445,3.234,7.29,2,1,1,2,2,1,1881.57
5.454,1.763,3.191,5.7,4,1,4,4,16,4,1881.88
5.525,1.633,2.083,8.93,2,1,4,2,8,4,1882.02
5.46,1.483,2.783,3.98,4,3,3,12,12,9,1882.4
5.426,1.826,2.797,3.24,4,3,3,12,12,9,1882.43
5.525,1.633,2.083,8.93,2,1,4,2,8,4,1882.84
5.398,2.27,2.36,9.22,4,1,3,4,12,3,1883.29
5.511,2.108,2.929,3.59,5,7,1,35,5,7,1883.42
5.254,1.799,2.495,6.6,5,6,2,30,10,12,1884.74
5.46,1.483,2.783,3.98,4,3,3,12,12,9,1886.04
5.393,1.758,2.229,8.89,4,1,2,4,8,2,1886.06
5.474,1.464,2.355,7.91,5,4,3,20,15,12,1886.39
5.423,1.584,1.926,5.47,4,7,2,28,8,14,1887.42
5.249,1.8,2.5,3.35,5,6,3,30,15,18,1887.48
5.423,1.584,1.926,5.47,4,7,2,28,8,14,1888.49
5.649,2.252,3.14,4.89,4,1,4,4,16,4,1888.74
5.564,1.432,2.799,5.54,5,1,4,5,20,4,1889.3
5.595,1.633,2.089,4.77,2,1,2,2,4,2,1889.59
5.249,1.8,2.5,3.35,5,6,3,30,15,18,1890.12
5.338,1.576,2.119,5.07,1,7,4,7,4,28,1890.65
5.511,2.108,2.929,3.59,5,7,1,35,5,7,1891.01
5.438,2.095,3.045,5.37,4,4,3,16,12,12,1891.02
5.509,2.321,2.379,6.5,2,4,1,8,2,4,1891.18
5.595,1.633,2.089,4.77,2,1,2,2,4,2,1891.34
5.649,2.252,3.14,4.89,4,1,4,4,16,4,1891.6
5.338,1.576,2.119,5.07,1,7,4,7,4,28,1891.93
5.528,1.63,2.083,4.8,2,1,4,2,8,4,1892.15
